S1;C1;S2;C2;S3;C3;S4;C4;S5;C5;poker_hand
Diamonds;Queen;Diamonds;Ace;Clubs;Queen;Hearts;Five;Clubs;Six;Two pairs
Clubs;Two;Clubs;Four;Spades;Jack;Spades;Nine;Diamonds;Queen;One pair
Diamonds;Seven;Clubs;Ace;Hearts;Two;Diamonds;Ace;Hearts;Three;Two pairs
Diamonds;Two;Spades;Ace;Clubs;Three;Diamonds;Three;Hearts;Three;Straight
Spades;Nine;Clubs;Seven;Diamonds;Two;Clubs;Nine;Clubs;Six;Two pairs
Diamonds;Queen;Hearts;Five;Spades;Three;Spades;Five;Spades;Ace;Two pairs
Spades;Eight;Spades;Nine;Diamonds;Ace;Hearts;King;Hearts;Six;One pair
Diamonds;King;Clubs;Two;Clubs;Eight;Clubs;Nine;Spades;Jack;One pair
Clubs;Eight;Spades;King;Hearts;Seven;Clubs;Ace;Spades;Three;One pair
Diamonds;Nine;Clubs;Six;Hearts;Jack;Diamonds;Queen;Hearts;Ace;One pair
Diamonds;Jack;Spades;Nine;Clubs;Two;Diamonds;Queen;Hearts;Ace;One pair
Diamonds;King;Clubs;Nine;Diamonds;Eight;Hearts;Nine;Clubs;Queen;Two pairs
Hearts;Queen;Diamonds;Three;Clubs;Three;Diamonds;Two;Hearts;Nine;Two pairs
Hearts;Nine;Hearts;Eight;Diamonds;Jack;Hearts;Seven;Diamonds;Nine;Two pairs
Clubs;Nine;Hearts;Six;Diamonds;Nine;Clubs;Queen;Spades;Eight;Two pairs
Diamonds;Six;Spades;Jack;Hearts;Five;Spades;Seven;Spades;Ten;One pair
Diamonds;Queen;Hearts;Four;Clubs;Three;Diamonds;Six;Hearts;Six;Two pairs
Spades;Four;Spades;Five;Hearts;Two;Clubs;Four;Spades;Six;Two pairs
Spades;Ace;Spades;Jack;Hearts;King;Clubs;King;Spades;Three;Two pairs
Diamonds;Three;Spades;Queen;Spades;Three;Hearts;Five;Clubs;Queen;Three of a kind
Hearts;Three;Hearts;Ace;Spades;Four;Hearts;Nine;Diamonds;Six;One pair
Hearts;Ace;Hearts;Ten;Spades;Jack;Spades;Three;Diamonds;Seven;One pair
Spades;Three;Hearts;King;Spades;Ten;Clubs;Eight;Spades;Six;One pair
Hearts;Nine;Hearts;Eight;Diamonds;Nine;Diamonds;King;Spades;Three;Two pairs
Spades;Three;Clubs;Four;Hearts;Four;Clubs;Five;Spades;Five;Three of a kind
Clubs;King;Clubs;Eight;Diamonds;Nine;Clubs;Ten;Spades;Six;One pair
Hearts;Five;Diamonds;Three;Clubs;Ten;Hearts;Two;Hearts;Four;One pair
Clubs;Two;Hearts;Nine;Hearts;Six;Hearts;Ten;Spades;Six;Two pairs
Clubs;Five;Hearts;Ten;Clubs;Ten;Hearts;Four;Diamonds;Eight;Two pairs
Hearts;Ace;Clubs;King;Spades;Nine;Clubs;Ten;Clubs;Six;One pair
Clubs;Ten;Spades;Ten;Clubs;Three;Hearts;Ace;Spades;Six;Two pairs
Hearts;Seven;Diamonds;Nine;Hearts;Nine;Hearts;Queen;Diamonds;Eight;Two pairs
Clubs;Five;Clubs;Two;Hearts;King;Spades;Ace;Spades;Ten;One pair
Clubs;Queen;Diamonds;King;Diamonds;Nine;Clubs;Five;Spades;Nine;Two pairs
Hearts;Seven;Hearts;Queen;Diamonds;Three;Hearts;Two;Hearts;Four;One pair
Clubs;Three;Hearts;Eight;Diamonds;Eight;Spades;Seven;Diamonds;Queen;Two pairs
Clubs;Four;Spades;Three;Spades;Four;Clubs;Three;Diamonds;Six;Three of a kind
Spades;Eight;Clubs;Eight;Hearts;King;Clubs;Two;Hearts;Ten;Two pairs
Hearts;Ten;Spades;Nine;Hearts;King;Diamonds;Four;Clubs;Ace;One pair
Clubs;Seven;Spades;King;Hearts;Jack;Spades;Jack;Clubs;Nine;Two pairs
Diamonds;Queen;Clubs;Six;Clubs;Seven;Clubs;Jack;Clubs;Queen;Two pairs
Spades;Nine;Clubs;King;Diamonds;Ten;Spades;Five;Diamonds;Seven;One pair
Hearts;Ten;Spades;Three;Spades;Seven;Spades;Jack;Diamonds;Jack;Two pairs
Hearts;Nine;Clubs;Ace;Hearts;Five;Diamonds;Ace;Hearts;Ace;Straight
Spades;Queen;Clubs;King;Spades;Jack;Diamonds;Ace;Clubs;Queen;Two pairs
Spades;Four;Diamonds;King;Hearts;Five;Spades;Nine;Spades;Two;One pair
Clubs;Ace;Clubs;Seven;Diamonds;Queen;Diamonds;King;Hearts;Jack;One pair
Spades;Six;Hearts;Seven;Clubs;Four;Diamonds;Seven;Spades;Eight;Two pairs
Diamonds;Ace;Spades;Queen;Hearts;Seven;Hearts;King;Spades;Ten;One pair
Clubs;Five;Spades;Seven;Diamonds;Six;Hearts;Two;Clubs;Jack;One pair
Hearts;Ace;Hearts;Ten;Clubs;Four;Diamonds;Five;Hearts;Queen;One pair
Clubs;Ace;Diamonds;King;Spades;Queen;Spades;Jack;Spades;King;Two pairs
Diamonds;Seven;Clubs;Ten;Clubs;Two;Spades;Seven;Diamonds;Five;Two pairs
Spades;Five;Hearts;Two;Hearts;Six;Hearts;Jack;Clubs;Six;Two pairs
Spades;Four;Clubs;Queen;Diamonds;Nine;Spades;Seven;Clubs;Nine;Two pairs
Diamonds;Six;Hearts;Ten;Spades;Six;Spades;Seven;Clubs;Ace;Two pairs
Hearts;Three;Spades;Eight;Spades;Two;Spades;Five;Hearts;Eight;Two pairs
Hearts;Ten;Hearts;Two;Diamonds;Ace;Clubs;Jack;Hearts;Ace;Two pairs
Hearts;Queen;Diamonds;Two;Clubs;Jack;Clubs;King;Hearts;King;Two pairs
Clubs;Two;Clubs;Four;Spades;Six;Hearts;Nine;Diamonds;Jack;One pair
Diamonds;Seven;Spades;Two;Hearts;Ace;Clubs;Jack;Diamonds;Six;One pair
Hearts;Eight;Spades;Seven;Spades;Five;Hearts;Three;Clubs;Eight;Two pairs
Hearts;Ace;Spades;King;Hearts;Ten;Diamonds;Four;Spades;Ace;Two pairs
Hearts;Ace;Hearts;Six;Hearts;Nine;Hearts;Ten;Spades;Eight;One pair
Diamonds;King;Diamonds;Four;Hearts;King;Diamonds;Five;Spades;Queen;Two pairs
Spades;Queen;Spades;Two;Diamonds;Ten;Diamonds;Seven;Hearts;King;One pair
Diamonds;Six;Clubs;Two;Hearts;Queen;Hearts;Three;Hearts;Nine;One pair
Hearts;Nine;Clubs;Jack;Spades;Two;Hearts;King;Spades;Three;One pair
Clubs;Two;Diamonds;Three;Spades;Three;Hearts;Jack;Diamonds;Six;Two pairs
Hearts;Nine;Clubs;Three;Diamonds;Ten;Diamonds;Four;Clubs;Ten;Two pairs
Hearts;King;Spades;Jack;Hearts;Seven;Diamonds;Ace;Clubs;Seven;Two pairs
Clubs;King;Diamonds;Five;Diamonds;Three;Diamonds;Eight;Hearts;Six;One pair
Hearts;Four;Hearts;Ten;Spades;Two;Diamonds;Eight;Hearts;Five;One pair
Hearts;King;Diamonds;Queen;Clubs;Jack;Hearts;Two;Clubs;Seven;One pair
Spades;Eight;Hearts;Eight;Spades;Six;Diamonds;Seven;Clubs;Ace;Two pairs
Diamonds;Ten;Hearts;Queen;Diamonds;Queen;Clubs;Jack;Diamonds;Jack;Three of a kind
Clubs;Three;Spades;Ace;Diamonds;Six;Spades;Two;Clubs;Eight;One pair
Diamonds;Ten;Spades;Ten;Clubs;Jack;Clubs;Seven;Diamonds;Four;Two pairs
Diamonds;Six;Diamonds;Five;Hearts;Ace;Clubs;Four;Hearts;Six;Two pairs
Diamonds;Five;Spades;Queen;Hearts;Six;Spades;Ace;Clubs;Queen;Two pairs
Hearts;Two;Clubs;Two;Diamonds;Nine;Diamonds;Seven;Hearts;Four;Two pairs
Spades;Ten;Spades;Five;Hearts;Five;Clubs;Four;Hearts;King;Two pairs
Diamonds;Nine;Spades;Five;Hearts;Jack;Clubs;Jack;Hearts;Ace;Two pairs
Diamonds;Queen;Diamonds;Two;Clubs;Four;Spades;Five;Diamonds;Three;One pair
Spades;Four;Hearts;Four;Clubs;Ten;Hearts;Ace;Hearts;Three;Two pairs
Diamonds;Six;Hearts;Seven;Clubs;Six;Hearts;Three;Hearts;Four;Two pairs
Clubs;Two;Spades;Six;Clubs;Six;Spades;Eight;Clubs;King;Two pairs
Spades;Three;Spades;Ten;Diamonds;Seven;Diamonds;Ten;Hearts;Ace;Two pairs
Clubs;Four;Spades;King;Clubs;King;Diamonds;Queen;Diamonds;Five;Two pairs
Clubs;Queen;Diamonds;King;Hearts;Six;Spades;Nine;Hearts;Nine;Two pairs
Clubs;King;Clubs;Four;Hearts;Three;Diamonds;Four;Clubs;Ten;Two pairs
Diamonds;Seven;Diamonds;Two;Diamonds;Eight;Spades;Nine;Diamonds;Four;One pair
Diamonds;Jack;Diamonds;Six;Clubs;Eight;Diamonds;Seven;Hearts;Queen;One pair
Clubs;Seven;Spades;Ace;Diamonds;Five;Spades;Five;Clubs;Six;Two pairs
Clubs;Three;Spades;Nine;Diamonds;Three;Clubs;Nine;Clubs;King;Three of a kind
Clubs;Queen;Clubs;King;Spades;Ten;Diamonds;Nine;Hearts;Nine;Two pairs
Diamonds;Six;Diamonds;Nine;Clubs;Five;Diamonds;Ten;Diamonds;Three;One pair
Clubs;Queen;Diamonds;Two;Hearts;Seven;Diamonds;Queen;Diamonds;Five;Two pairs
Hearts;Five;Clubs;Ace;Diamonds;Five;Diamonds;Ace;Diamonds;Jack;Three of a kind
Diamonds;Ten;Diamonds;Nine;Clubs;Queen;Spades;Ten;Clubs;Eight;Two pairs
Clubs;Eight;Hearts;Five;Spades;Seven;Diamonds;King;Hearts;Six;One pair
Spades;King;Diamonds;King;Hearts;Ace;Diamonds;Jack;Diamonds;Nine;Two pairs
Hearts;Jack;Clubs;King;Hearts;Two;Clubs;Six;Spades;Five;One pair
Clubs;Queen;Diamonds;Ten;Hearts;Ten;Hearts;Three;Diamonds;Seven;Two pairs
Diamonds;Two;Clubs;Nine;Hearts;Eight;Spades;Four;Hearts;Queen;One pair
Diamonds;Eight;Clubs;Five;Clubs;Six;Spades;Eight;Hearts;Four;Two pairs
Diamonds;Four;Diamonds;Ace;Spades;King;Spades;Ace;Spades;Queen;Two pairs
Clubs;Ace;Spades;Ace;Clubs;Jack;Spades;Six;Diamonds;King;Two pairs
Spades;Five;Hearts;Seven;Hearts;Jack;Hearts;Eight;Spades;Seven;Two pairs
Hearts;Five;Clubs;King;Spades;Eight;Spades;Jack;Spades;Five;Two pairs
Spades;Nine;Diamonds;Nine;Diamonds;Ten;Diamonds;Four;Clubs;Four;Three of a kind
Hearts;Six;Spades;Two;Clubs;King;Spades;Queen;Clubs;Six;Two pairs
Diamonds;Four;Spades;Three;Diamonds;Six;Diamonds;Eight;Clubs;Seven;One pair
Diamonds;Seven;Clubs;Eight;Diamonds;Nine;Diamonds;Queen;Diamonds;Ten;One pair
Hearts;Two;Clubs;Queen;Clubs;Ace;Spades;Seven;Hearts;Six;One pair
Spades;King;Clubs;Jack;Hearts;Ten;Spades;Five;Diamonds;Seven;One pair
Hearts;Six;Diamonds;Jack;Hearts;Four;Hearts;Five;Diamonds;Queen;One pair
Spades;Four;Hearts;Jack;Clubs;Seven;Clubs;Three;Diamonds;King;One pair
Spades;Four;Clubs;Six;Clubs;Nine;Spades;Six;Diamonds;Six;Straight
Spades;Three;Clubs;Jack;Diamonds;Ace;Diamonds;King;Hearts;Five;One pair
Clubs;Five;Diamonds;Ten;Clubs;Eight;Spades;Six;Hearts;Nine;One pair
Hearts;Ten;Clubs;Seven;Spades;Ten;Hearts;Seven;Diamonds;King;Three of a kind
Clubs;Jack;Hearts;Nine;Spades;Five;Diamonds;Nine;Hearts;Ace;Two pairs
Hearts;Jack;Clubs;Nine;Spades;Queen;Diamonds;Three;Spades;Ace;One pair
Hearts;Seven;Spades;Three;Diamonds;Seven;Spades;Eight;Hearts;Six;Two pairs
Diamonds;Eight;Diamonds;Ten;Diamonds;Ace;Clubs;King;Spades;Seven;One pair
Clubs;Four;Hearts;Four;Clubs;Five;Diamonds;Nine;Hearts;Jack;Two pairs
Diamonds;Four;Clubs;King;Spades;Queen;Hearts;Three;Diamonds;Jack;One pair
Clubs;Seven;Clubs;Jack;Spades;Ten;Diamonds;Ace;Hearts;Ace;Two pairs
Clubs;Five;Diamonds;Jack;Clubs;Two;Spades;Six;Hearts;Two;Two pairs
Hearts;Four;Clubs;Four;Clubs;Three;Hearts;Five;Hearts;Eight;Two pairs
Spades;Seven;Diamonds;Four;Hearts;Jack;Clubs;Ten;Spades;Two;One pair
Diamonds;Two;Clubs;King;Spades;Seven;Clubs;Queen;Diamonds;Nine;One pair
Clubs;Ten;Hearts;Ten;Hearts;Three;Clubs;Jack;Spades;Six;Two pairs
Diamonds;Eight;Spades;Ten;Clubs;King;Diamonds;Queen;Spades;Eight;Two pairs
Hearts;Two;Spades;Three;Clubs;Queen;Spades;Ace;Clubs;Jack;One pair
Clubs;Jack;Diamonds;Nine;Hearts;Two;Hearts;Ace;Diamonds;King;One pair
Diamonds;King;Hearts;Seven;Hearts;Jack;Spades;Ten;Clubs;Ace;One pair
Diamonds;Ace;Spades;Three;Spades;Six;Hearts;Four;Hearts;King;One pair
Diamonds;Queen;Hearts;Six;Spades;King;Hearts;Eight;Spades;Ace;One pair
Hearts;Three;Clubs;Queen;Hearts;King;Hearts;Queen;Hearts;Four;Two pairs
Diamonds;Three;Diamonds;Five;Clubs;Queen;Diamonds;Eight;Clubs;Nine;One pair
Hearts;Jack;Spades;Ace;Spades;Five;Diamonds;King;Diamonds;Queen;One pair
Hearts;Jack;Hearts;Two;Hearts;Eight;Diamonds;Ace;Diamonds;Eight;Two pairs
Diamonds;Ten;Diamonds;Five;Diamonds;Four;Spades;Five;Diamonds;Six;Two pairs
Diamonds;Six;Diamonds;Queen;Spades;Queen;Diamonds;Nine;Clubs;Queen;Straight
Spades;Six;Spades;Jack;Diamonds;Six;Clubs;Three;Clubs;Eight;Two pairs
Hearts;Ace;Spades;Eight;Diamonds;Eight;Diamonds;Five;Spades;Queen;Two pairs
Clubs;Three;Clubs;Ace;Diamonds;Six;Diamonds;Three;Clubs;Six;Three of a kind
Hearts;Eight;Spades;King;Diamonds;Ten;Hearts;Seven;Hearts;Jack;One pair
Diamonds;Three;Clubs;Two;Hearts;Four;Clubs;Four;Spades;Six;Two pairs
Hearts;Three;Diamonds;Six;Diamonds;King;Diamonds;Jack;Clubs;Ten;One pair
Diamonds;Nine;Diamonds;Ten;Hearts;Nine;Clubs;Nine;Hearts;Seven;Straight
Spades;Three;Spades;Ace;Hearts;Eight;Hearts;Nine;Clubs;Five;One pair
Hearts;Eight;Diamonds;Nine;Clubs;Ace;Diamonds;Jack;Hearts;Jack;Two pairs
Spades;Four;Clubs;Two;Diamonds;Four;Diamonds;Eight;Diamonds;Five;Two pairs
Clubs;Ace;Hearts;Two;Hearts;Jack;Spades;Four;Hearts;Eight;One pair
Hearts;Two;Hearts;Six;Clubs;Nine;Hearts;Three;Diamonds;King;One pair
Diamonds;Five;Hearts;Five;Hearts;Queen;Diamonds;Four;Clubs;Queen;Three of a kind
Diamonds;King;Diamonds;Ace;Hearts;Queen;Spades;Queen;Spades;Ten;Two pairs
Spades;Ace;Diamonds;Six;Hearts;Three;Diamonds;Ace;Clubs;Five;Two pairs
Hearts;Five;Hearts;Four;Hearts;King;Hearts;Six;Spades;Five;Two pairs
Diamonds;Seven;Hearts;Three;Clubs;Eight;Clubs;Jack;Clubs;Five;One pair
Hearts;Six;Hearts;Ten;Diamonds;Seven;Hearts;Three;Spades;Nine;One pair
Clubs;Five;Hearts;Four;Spades;Three;Spades;Jack;Hearts;Nine;One pair
Spades;Two;Hearts;Nine;Hearts;Ace;Clubs;Nine;Spades;Jack;Two pairs
Spades;Ace;Hearts;Five;Spades;Ten;Hearts;Eight;Hearts;Three;One pair
Clubs;Eight;Diamonds;Five;Spades;Nine;Clubs;Ten;Spades;Eight;Two pairs
Diamonds;Three;Hearts;Queen;Clubs;Five;Hearts;Three;Clubs;Three;Straight
Spades;Six;Diamonds;Ace;Diamonds;Nine;Hearts;Queen;Spades;King;One pair
Diamonds;Ace;Clubs;Four;Hearts;Jack;Spades;Three;Spades;Two;One pair
Clubs;Five;Hearts;Jack;Hearts;Three;Hearts;Ten;Diamonds;Nine;One pair
Diamonds;Ten;Clubs;Eight;Clubs;Three;Diamonds;Six;Hearts;Five;One pair
Hearts;King;Hearts;Ace;Diamonds;Seven;Clubs;Nine;Spades;Ten;One pair
Hearts;Ace;Diamonds;Two;Diamonds;Queen;Hearts;Two;Diamonds;Jack;Two pairs
Spades;King;Hearts;Three;Clubs;Six;Diamonds;Five;Diamonds;Nine;One pair
Spades;Ace;Spades;Six;Clubs;Six;Spades;Queen;Diamonds;Ten;Two pairs
Hearts;Jack;Diamonds;Five;Diamonds;Three;Clubs;Two;Clubs;Six;One pair
Spades;Queen;Diamonds;Two;Diamonds;Four;Clubs;Three;Clubs;Eight;One pair
Hearts;Seven;Diamonds;Three;Spades;Six;Clubs;Ace;Spades;Eight;One pair
Clubs;Eight;Clubs;Seven;Hearts;Four;Spades;Jack;Clubs;Nine;One pair
Clubs;Eight;Diamonds;Queen;Hearts;Eight;Spades;Queen;Hearts;Ten;Three of a kind
Hearts;Eight;Spades;Eight;Clubs;Six;Spades;Queen;Spades;Seven;Two pairs
Spades;Jack;Clubs;King;Diamonds;Nine;Diamonds;Eight;Spades;Ace;One pair
Hearts;Four;Hearts;King;Diamonds;Four;Spades;Seven;Diamonds;Ace;Two pairs
Spades;Jack;Clubs;Ace;Clubs;Nine;Clubs;Four;Diamonds;Six;One pair
Hearts;Seven;Clubs;Four;Hearts;Ace;Clubs;Five;Spades;Eight;One pair
Diamonds;Nine;Hearts;King;Clubs;Three;Spades;Nine;Clubs;Ace;Two pairs
Hearts;Jack;Hearts;King;Diamonds;King;Spades;Nine;Spades;King;Straight
Clubs;Two;Diamonds;Two;Clubs;Seven;Hearts;Queen;Clubs;Ace;Two pairs
Diamonds;Seven;Hearts;Four;Hearts;Seven;Spades;Queen;Clubs;Jack;Two pairs
Clubs;Five;Diamonds;King;Spades;Five;Hearts;King;Clubs;Six;Three of a kind
Clubs;Ace;Clubs;Five;Hearts;Five;Spades;Nine;Clubs;Nine;Three of a kind
Spades;Six;Clubs;Four;Clubs;Seven;Diamonds;Six;Hearts;Queen;Two pairs
Spades;Five;Clubs;Jack;Diamonds;Five;Hearts;Four;Spades;Nine;Two pairs
Diamonds;Queen;Spades;Three;Clubs;Nine;Diamonds;King;Diamonds;Nine;Two pairs
Clubs;Ace;Diamonds;King;Hearts;Two;Spades;Ten;Diamonds;Nine;One pair
Spades;Eight;Hearts;Jack;Diamonds;Four;Clubs;Eight;Hearts;Seven;Two pairs
Diamonds;Queen;Hearts;Six;Clubs;Ten;Spades;Nine;Diamonds;Four;One pair
Diamonds;Six;Diamonds;Seven;Clubs;Two;Diamonds;Ten;Spades;Two;Two pairs
Diamonds;Queen;Spades;King;Hearts;Two;Hearts;King;Spades;Seven;Two pairs
Clubs;Nine;Clubs;Two;Clubs;Ace;Spades;Five;Hearts;Seven;One pair
Spades;Jack;Clubs;Two;Hearts;Eight;Clubs;Jack;Hearts;Two;Three of a kind
Spades;Ace;Spades;Six;Diamonds;Seven;Clubs;Ten;Clubs;Nine;One pair
Diamonds;Queen;Diamonds;Four;Hearts;Ace;Spades;Six;Clubs;Two;One pair
Spades;Jack;Diamonds;Four;Diamonds;Queen;Spades;Seven;Diamonds;Five;One pair
Clubs;Seven;Diamonds;Two;Clubs;King;Spades;Nine;Hearts;Seven;Two pairs
Hearts;Two;Spades;Jack;Hearts;Eight;Hearts;Four;Spades;Ten;One pair
Spades;Ten;Spades;Six;Hearts;Seven;Clubs;Nine;Spades;Seven;Two pairs
Clubs;Nine;Hearts;Queen;Clubs;Five;Spades;Jack;Spades;Four;One pair
Diamonds;King;Spades;Eight;Spades;Four;Diamonds;Seven;Diamonds;Three;One pair
Diamonds;Five;Spades;Seven;Diamonds;Jack;Hearts;Two;Clubs;King;One pair
Clubs;Ace;Spades;Four;Clubs;Five;Diamonds;Four;Diamonds;Eight;Two pairs
Diamonds;Five;Spades;Ace;Diamonds;Ten;Hearts;Five;Hearts;King;Two pairs
Clubs;Four;Clubs;Three;Hearts;Three;Hearts;Nine;Spades;Five;Two pairs
Clubs;Two;Diamonds;Two;Spades;Four;Clubs;Five;Clubs;Nine;Two pairs
Hearts;Seven;Spades;Nine;Spades;Three;Hearts;King;Hearts;Five;One pair
Spades;Nine;Spades;Two;Hearts;King;Clubs;Two;Diamonds;Four;Two pairs
Hearts;Two;Diamonds;Three;Diamonds;Five;Clubs;Five;Spades;Ten;Two pairs
Clubs;Six;Diamonds;King;Hearts;Seven;Hearts;Five;Spades;Ten;One pair
Clubs;Five;Clubs;Ten;Spades;Three;Diamonds;Six;Diamonds;Three;Two pairs
Clubs;Two;Diamonds;Five;Clubs;King;Hearts;Ten;Hearts;Four;One pair
Diamonds;Three;Diamonds;Two;Spades;Two;Spades;Six;Hearts;King;Two pairs
Diamonds;Seven;Diamonds;Jack;Hearts;Eight;Diamonds;Ten;Hearts;Jack;Two pairs
Diamonds;Eight;Hearts;Four;Diamonds;Seven;Spades;Jack;Clubs;Nine;One pair
Clubs;Queen;Spades;Ace;Hearts;Nine;Hearts;Four;Clubs;Jack;One pair
Spades;Four;Spades;Ten;Spades;King;Hearts;Two;Spades;Two;Two pairs
Clubs;Ten;Hearts;Five;Hearts;Six;Diamonds;Ace;Hearts;Two;One pair
Hearts;Two;Hearts;Seven;Diamonds;Eight;Spades;Three;Diamonds;Seven;Two pairs
Spades;Six;Spades;Seven;Diamonds;Ten;Hearts;Four;Spades;Three;One pair
Diamonds;Queen;Diamonds;Seven;Spades;King;Clubs;King;Clubs;Nine;Two pairs
Diamonds;Nine;Hearts;Ten;Clubs;Seven;Hearts;King;Clubs;Ace;One pair
Hearts;Jack;Diamonds;Three;Diamonds;Jack;Diamonds;King;Hearts;Five;Two pairs
Diamonds;Three;Clubs;Queen;Hearts;Seven;Diamonds;Two;Diamonds;Eight;One pair
Diamonds;Nine;Spades;Three;Hearts;Five;Diamonds;Six;Clubs;Five;Two pairs
Hearts;Three;Diamonds;Five;Spades;Ace;Spades;Eight;Spades;Ten;One pair
Spades;Jack;Spades;Eight;Clubs;Jack;Hearts;King;Diamonds;Nine;Two pairs
Diamonds;Nine;Hearts;Three;Hearts;Ace;Hearts;Six;Clubs;Ace;Two pairs
Clubs;Ten;Hearts;King;Diamonds;Ace;Hearts;Three;Clubs;Jack;One pair
Spades;Two;Hearts;Three;Diamonds;Eight;Hearts;Jack;Hearts;Seven;One pair
Diamonds;Six;Diamonds;Eight;Diamonds;King;Hearts;Seven;Diamonds;Jack;One pair
Clubs;Eight;Spades;Queen;Hearts;Ten;Spades;Ten;Diamonds;Three;Two pairs
Hearts;Two;Diamonds;Jack;Spades;Six;Hearts;Queen;Spades;Queen;Two pairs
Hearts;Six;Hearts;Ten;Hearts;Nine;Hearts;Queen;Spades;Six;Two pairs
Spades;King;Clubs;King;Spades;Nine;Diamonds;Eight;Hearts;Seven;Two pairs
Spades;Four;Clubs;Nine;Clubs;Queen;Hearts;Ace;Diamonds;Four;Two pairs
Spades;Two;Hearts;Seven;Diamonds;King;Clubs;Jack;Spades;Eight;One pair
Diamonds;Queen;Spades;Ten;Spades;Eight;Spades;Seven;Spades;Nine;One pair
Hearts;King;Spades;Five;Hearts;Nine;Spades;Jack;Diamonds;Four;One pair
Diamonds;Six;Clubs;Two;Diamonds;Seven;Clubs;Eight;Hearts;Five;One pair
Spades;Queen;Hearts;Ten;Diamonds;Queen;Hearts;Eight;Spades;Four;Two pairs
Spades;Ten;Clubs;King;Clubs;Two;Spades;Six;Diamonds;Four;One pair
Clubs;Seven;Clubs;Five;Hearts;Five;Clubs;Three;Hearts;Nine;Two pairs
Hearts;Four;Spades;Five;Hearts;Queen;Hearts;King;Clubs;Five;Two pairs
Clubs;Jack;Clubs;Seven;Diamonds;King;Spades;Ten;Diamonds;Six;One pair
Spades;Ace;Hearts;Five;Diamonds;Seven;Hearts;Six;Clubs;Ace;Two pairs
Spades;Queen;Clubs;Seven;Hearts;Ten;Hearts;King;Spades;Ace;One pair
Clubs;Ten;Diamonds;Jack;Spades;Nine;Clubs;Two;Diamonds;Six;One pair
Hearts;Queen;Clubs;Ace;Clubs;Eight;Hearts;Four;Clubs;King;One pair
Spades;Four;Clubs;Ten;Hearts;Ten;Spades;Three;Diamonds;Eight;Two pairs
Hearts;Seven;Clubs;Eight;Hearts;Three;Hearts;Ten;Diamonds;Nine;One pair
Spades;Seven;Spades;Two;Clubs;Six;Spades;Six;Spades;Jack;Two pairs
Hearts;Two;Diamonds;Ten;Spades;Five;Spades;Queen;Diamonds;Four;One pair
Clubs;Jack;Clubs;Five;Hearts;Jack;Spades;Three;Clubs;Eight;Two pairs
Hearts;Two;Diamonds;Seven;Spades;Five;Hearts;Six;Diamonds;Two;Two pairs
Hearts;Two;Clubs;Jack;Hearts;Five;Clubs;Five;Hearts;Eight;Two pairs
Hearts;Four;Clubs;Nine;Diamonds;Eight;Diamonds;Three;Hearts;Eight;Two pairs
Hearts;Ten;Spades;Ace;Hearts;Queen;Hearts;Ace;Clubs;Two;Two pairs
Clubs;Queen;Spades;Ten;Clubs;Two;Hearts;Seven;Diamonds;Seven;Two pairs
Diamonds;Two;Clubs;Seven;Diamonds;Jack;Diamonds;Eight;Clubs;King;One pair
Spades;Three;Diamonds;Ace;Clubs;Queen;Hearts;Nine;Diamonds;Seven;One pair
Hearts;Six;Diamonds;Three;Diamonds;Eight;Spades;Eight;Clubs;Queen;Two pairs
Spades;King;Spades;Four;Spades;Jack;Clubs;Nine;Diamonds;Two;One pair
Clubs;Ten;Hearts;Eight;Spades;Five;Diamonds;Queen;Diamonds;Jack;One pair
Clubs;Two;Spades;Nine;Clubs;Seven;Hearts;Six;Hearts;Five;One pair
Hearts;Queen;Spades;Nine;Spades;Eight;Spades;King;Clubs;Four;One pair
Clubs;King;Spades;Ten;Spades;Seven;Spades;Three;Diamonds;Nine;One pair
Spades;Nine;Hearts;Three;Hearts;Jack;Hearts;Two;Clubs;King;One pair
Spades;Three;Spades;Two;Hearts;King;Clubs;King;Spades;Ace;Two pairs
Spades;Seven;Diamonds;Ten;Hearts;Queen;Diamonds;Six;Spades;Six;Two pairs
Hearts;Two;Spades;Five;Diamonds;Three;Hearts;Ten;Hearts;Queen;One pair
Hearts;Eight;Hearts;Jack;Spades;Ten;Spades;Eight;Clubs;King;Two pairs
Diamonds;Eight;Spades;Jack;Spades;King;Clubs;Eight;Clubs;Six;Two pairs
Clubs;Three;Clubs;Ten;Hearts;Five;Diamonds;Four;Diamonds;Seven;One pair
Spades;Two;Spades;Six;Hearts;Jack;Clubs;Ace;Spades;Ace;Two pairs
Clubs;Seven;Spades;Seven;Clubs;Ten;Spades;Ten;Clubs;Eight;Three of a kind
Spades;King;Spades;Ten;Clubs;Seven;Hearts;Six;Spades;Two;One pair
Spades;Three;Spades;King;Spades;Six;Clubs;Six;Diamonds;Seven;Two pairs
Hearts;Six;Clubs;Queen;Clubs;Five;Diamonds;King;Hearts;Five;Two pairs
Clubs;Six;Diamonds;Ace;Clubs;Four;Spades;Seven;Diamonds;Six;Two pairs
Hearts;Queen;Diamonds;Nine;Clubs;Jack;Hearts;Four;Hearts;Nine;Two pairs
Spades;Jack;Spades;Queen;Spades;Ten;Diamonds;Jack;Hearts;Nine;Two pairs
Spades;Seven;Diamonds;Ace;Spades;Eight;Hearts;Nine;Clubs;Two;One pair
Clubs;Five;Hearts;Three;Clubs;Ten;Spades;Ten;Diamonds;Ten;Straight
